source_live,source_session_key,source_session_name,source_session_start,source_session_start_text,cohort_user_count,target_live,target_host,target_type,post_ge1_user_count,post_ge1_rate,post_active_ge1_user_count,post_active_ge1_rate,first_target_user_count,first_target_rate,post_d7_ge1_user_count,post_d7_ge1_rate,post_d14_ge1_user_count,post_d14_ge1_rate,post_d30_ge1_user_count,post_d30_ge1_rate
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_鸣潮,嘉然,鸣潮,10053,0.6406,8518,0.5428,9728,0.6199,0,0.0,8587,0.5472,9323,0.594
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_电台,乃琳,电台,4578,0.2917,3586,0.2285,718,0.0457,0,0.0,0,0.0,3862,0.2461
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_3D,乃琳,3D,3260,0.2077,2523,0.1608,167,0.0106,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,乃琳_团播,乃琳,团播,2953,0.1882,2330,0.1485,68,0.0043,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,贝拉_终末地,贝拉,终末地,2691,0.1715,2152,0.1371,250,0.0159,0,0.0,1280,0.0816,1280,0.0816
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_团播,嘉然,团播,2595,0.1653,2038,0.1299,91,0.0058,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_电台,嘉然,电台,2385,0.152,1851,0.1179,46,0.0029,0,0.0,0,0.0,1723,0.1098
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_3D,嘉然,3D,2110,0.1344,1607,0.1024,31,0.002,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,嘉然_电影,嘉然,电影,1693,0.1079,1291,0.0823,29,0.0018,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,9d713035-0892-47a0-9253-c0494d92062e,乃琳_鸣潮2.8,1769331185000,2026-01-25 16:53,15694,贝拉_3D,贝拉,3D,1191,0.0759,928,0.0591,15,0.001,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,嘉然_鸣潮,嘉然,鸣潮,2913,0.5451,2312,0.4326,2817,0.5271,2447,0.4579,2447,0.4579,2913,0.5451
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,乃琳_电台,乃琳,电台,1068,0.1999,815,0.1525,221,0.0414,0,0.0,0,0.0,1068,0.1999
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,乃琳_3D,乃琳,3D,740,0.1385,512,0.0958,65,0.0122,0,0.0,0,0.0,445,0.0833
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,贝拉_终末地,贝拉,终末地,643,0.1203,466,0.0872,102,0.0191,280,0.0524,280,0.0524,643,0.1203
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,乃琳_团播,乃琳,团播,616,0.1153,450,0.0842,28,0.0052,0,0.0,0,0.0,0,0.0
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,嘉然_电台,嘉然,电台,551,0.1031,398,0.0745,26,0.0049,0,0.0,0,0.0,359,0.0672
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,嘉然_团播,嘉然,团播,525,0.0982,394,0.0737,31,0.0058,0,0.0,0,0.0,525,0.0982
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,嘉然_3D,嘉然,3D,449,0.084,315,0.0589,9,0.0017,0,0.0,0,0.0,272,0.0509
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,嘉然_电影,嘉然,电影,329,0.0616,249,0.0466,17,0.0032,0,0.0,0,0.0,329,0.0616
乃琳_鸣潮,fc45fb6f-bd49-4d66-a5af-d07596397474,乃琳_鸣潮3.0上半,1769838878000,2026-01-31 13:54,5344,贝拉_3D,贝拉,3D,233,0.0436,180,0.0337,10,0.0019,0,0.0,0,0.0,233,0.0436
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,嘉然_鸣潮,嘉然,鸣潮,1255,0.441,917,0.3222,1149,0.4037,779,0.2737,1047,0.3679,1255,0.441
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,乃琳_电台,乃琳,电台,551,0.1936,406,0.1427,203,0.0713,0,0.0,0,0.0,551,0.1936
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,乃琳_3D,乃琳,3D,365,0.1283,261,0.0917,46,0.0162,0,0.0,0,0.0,365,0.1283
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,贝拉_终末地,贝拉,终末地,336,0.1181,237,0.0833,118,0.0415,140,0.0492,140,0.0492,336,0.1181
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,乃琳_团播,乃琳,团播,335,0.1177,262,0.0921,21,0.0074,0,0.0,0,0.0,335,0.1177
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,嘉然_电台,嘉然,电台,300,0.1054,228,0.0801,18,0.0063,0,0.0,0,0.0,300,0.1054
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,嘉然_团播,嘉然,团播,286,0.1005,206,0.0724,27,0.0095,0,0.0,0,0.0,286,0.1005
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,嘉然_3D,嘉然,3D,255,0.0896,179,0.0629,11,0.0039,0,0.0,0,0.0,255,0.0896
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,嘉然_电影,嘉然,电影,204,0.0717,142,0.0499,17,0.006,0,0.0,0,0.0,204,0.0717
乃琳_鸣潮,ad50e89e-ec00-4d0d-8fd6-fc4dca9089dc,乃琳_鸣潮_0204,1770186119000,2026-02-04 14:21,2846,贝拉_3D,贝拉,3D,121,0.0425,88,0.0309,6,0.0021,0,0.0,0,0.0,121,0.0425
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,嘉然_鸣潮,嘉然,鸣潮,839,0.2468,615,0.1809,672,0.1976,0,0.0,526,0.1547,839,0.2468
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,乃琳_电台,乃琳,电台,609,0.1791,458,0.1347,360,0.1059,0,0.0,0,0.0,609,0.1791
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,乃琳_3D,乃琳,3D,386,0.1135,260,0.0765,66,0.0194,0,0.0,0,0.0,386,0.1135
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,乃琳_团播,乃琳,团播,355,0.1044,253,0.0744,43,0.0126,0,0.0,0,0.0,355,0.1044
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,嘉然_电台,嘉然,电台,325,0.0956,239,0.0703,67,0.0197,0,0.0,0,0.0,325,0.0956
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,嘉然_团播,嘉然,团播,324,0.0953,230,0.0676,67,0.0197,0,0.0,0,0.0,324,0.0953
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,嘉然_3D,嘉然,3D,250,0.0735,171,0.0503,20,0.0059,0,0.0,0,0.0,250,0.0735
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,贝拉_终末地,贝拉,终末地,242,0.0712,175,0.0515,91,0.0268,0,0.0,0,0.0,242,0.0712
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,嘉然_电影,嘉然,电影,194,0.0571,138,0.0406,32,0.0094,0,0.0,0,0.0,194,0.0571
乃琳_鸣潮,777587cd-b9d6-4385-9116-832bc5544b6f,乃琳_鸣潮_0207,1770447396000,2026-02-07 14:56,3400,贝拉_3D,贝拉,3D,142,0.0418,98,0.0288,19,0.0056,0,0.0,0,0.0,142,0.0418
